tanggal,curah_hujan_mm,durasi_hujan_jam,status_banjir
2020-12-02,10.7,14.0,0
2020-12-03,13.1,6.0,0
2020-12-04,25.0,18.0,0
2020-12-05,2.0,6.0,0
2020-12-06,18.4,14.0,0
2020-12-07,17.2,15.0,0
2020-12-08,27.4,16.0,0
2020-12-09,5.7,9.0,0
2020-12-10,6.3,13.0,0
2020-12-11,8.1,9.0,0
2020-12-12,23.7,13.0,0
2020-12-13,0.4,3.0,0
2020-12-14,5.0,7.0,0
2020-12-15,9.6,14.0,0
2020-12-16,4.8,11.0,0
2020-12-17,29.3,20.0,0
2020-12-18,15.7,17.0,0
2020-12-19,1.1,5.0,0
2020-12-20,0.9,2.0,0
2020-12-21,0.5,4.0,0
2020-12-22,9.9,20.0,0
2020-12-23,18.8,13.0,0
2020-12-24,6.2,14.0,0
2020-12-25,12.9,14.0,0
2020-12-26,21.5,12.0,0
2020-12-27,6.3,4.0,0
2020-12-28,12.1,11.0,0
2020-12-29,9.6,7.0,0
2020-12-30,1.8,9.0,0
2020-12-31,14.1,13.0,0
2021-01-01,13.0,15.0,0
2021-01-02,17.8,16.0,0
2021-01-03,20.5,13.0,0
2021-01-04,19.8,12.0,0
2021-01-05,16.2,14.0,0
2021-01-06,9.6,10.0,0
2021-01-07,9.6,10.0,0
2021-01-08,0.6,6.0,0
2021-01-09,14.6,16.0,0
2021-01-10,13.9,7.0,0
2021-01-11,15.1,15.0,0
2021-01-12,15.9,16.0,0
2021-01-13,26.3,20.0,0
2021-01-14,14.6,17.0,0
2021-01-15,7.4,17.0,0
2021-01-16,0.0,0.0,0
2021-01-17,2.2,6.0,0
2021-01-18,0.8,3.0,0
2021-01-19,12.3,14.0,0
2021-01-20,0.9,7.0,0
2021-01-21,30.7,18.0,0
2021-01-22,12.0,14.0,0
2021-01-23,8.0,10.0,0
2021-01-24,1.4,6.0,0
2021-01-25,4.2,12.0,0
2021-01-26,10.6,14.0,0
2021-01-27,9.7,17.0,0
2021-01-28,1.6,7.0,0
2021-01-29,5.4,2.0,0
2021-01-30,1.0,5.0,0
2021-01-31,4.7,6.0,0
2021-02-01,11.7,8.0,0
2021-02-02,2.2,8.0,0
2021-02-03,17.8,11.0,0
2021-02-04,3.4,6.0,0
2021-02-05,7.3,13.0,0
2021-02-06,10.2,13.0,0
2021-02-07,12.2,18.0,0
2021-02-08,5.6,11.0,0
2021-02-09,11.5,12.0,0
2021-02-10,5.8,17.0,0
2021-02-11,17.8,13.0,0
2021-02-12,18.5,18.0,0
2021-02-13,24.2,17.0,0
2021-02-14,11.3,14.0,0
2021-02-15,12.1,9.0,0
2021-02-16,3.4,8.0,0
2021-02-17,12.8,18.0,0
2021-02-18,25.1,21.0,0
2021-02-19,5.4,13.0,0
2021-02-20,1.8,8.0,0
2021-02-21,7.9,15.0,0
2021-02-22,20.3,16.0,0
2021-02-23,15.1,18.0,0
2021-02-24,1.6,5.0,0
2021-02-25,1.9,5.0,0
2021-02-26,2.7,10.0,0
2021-02-27,7.2,9.0,0
2021-02-28,9.2,12.0,0
2021-03-01,3.0,9.0,0
2021-03-02,3.5,3.0,0
2021-03-03,4.0,8.0,0
2021-03-04,6.4,12.0,0
2021-03-05,18.6,14.0,0
2021-03-06,3.4,11.0,0
2021-03-07,4.7,7.0,0
2021-03-08,6.4,9.0,0
2021-03-09,21.8,20.0,0
2021-03-10,4.6,10.0,0
2021-03-11,0.2,1.0,0
2021-03-12,7.8,10.0,0
2021-03-13,8.1,15.0,0
2021-03-14,4.5,11.0,0
2021-03-15,1.7,4.0,0
2021-03-16,8.0,14.0,0
2021-03-17,1.2,4.0,0
2021-03-18,17.6,15.0,0
2021-03-19,7.1,8.0,0
2021-03-20,27.2,12.0,0
2021-03-21,8.5,9.0,0
2021-03-22,8.5,16.0,0
2021-03-23,12.9,20.0,0
2021-03-24,10.5,14.0,0
2021-03-25,5.7,10.0,0
2021-03-26,4.1,13.0,0
2021-03-27,1.4,9.0,0
2021-03-28,13.5,14.0,0
2021-03-29,15.5,9.0,0
2021-03-30,2.9,9.0,0
2021-03-31,7.6,7.0,0
2021-04-01,6.1,14.0,0
2021-04-02,1.9,8.0,0
2021-04-03,35.0,10.0,0
2021-04-04,8.6,9.0,0
2021-04-05,17.2,22.0,0
2021-04-06,16.1,12.0,0
2021-04-07,4.8,10.0,0
2021-04-08,10.1,10.0,0
2021-04-09,8.4,15.0,0
2021-04-10,0.2,2.0,0
2021-04-11,4.0,7.0,0
2021-04-12,1.2,4.0,0
2021-04-13,4.1,9.0,0
2021-04-14,13.3,12.0,0
2021-04-15,12.8,12.0,0
2021-04-16,10.4,9.0,0
2021-04-17,8.6,10.0,0
2021-04-18,36.0,13.0,0
2021-04-19,1.3,8.0,0
2021-04-20,0.4,4.0,0
2021-04-21,7.1,13.0,0
2021-04-22,7.5,13.0,0
2021-04-23,10.4,8.0,0
2021-04-24,4.1,5.0,0
2021-04-25,13.7,12.0,0
2021-04-26,7.8,7.0,0
2021-04-27,11.2,13.0,0
2021-04-28,14.3,11.0,0
2021-04-29,7.6,10.0,0
2021-04-30,10.2,11.0,0
2021-05-01,12.1,15.0,0
2021-05-02,4.1,8.0,0
2021-05-03,4.9,13.0,0
2021-05-04,6.9,12.0,0
2021-05-05,18.7,14.0,0
2021-05-06,5.4,16.0,0
2021-05-07,11.1,16.0,0
2021-05-08,1.1,6.0,0
2021-05-09,19.6,13.0,0
2021-05-10,5.2,6.0,0
2021-05-11,8.1,10.0,0
2021-05-12,5.3,9.0,0
2021-05-13,10.8,13.0,0
2021-05-14,17.9,17.0,0
2021-05-15,8.8,14.0,0
2021-05-16,16.9,16.0,0
2021-05-17,18.0,14.0,0
2021-05-18,11.0,15.0,0
2021-05-19,19.0,14.0,0
2021-05-20,5.4,9.0,0
