feature,importance
rain_sum_imputed,0.24135354790638117
rain_intensity_3h,0.13683299959936493
pasut_msl_max,0.1178321076830904
rain_intensity_max,0.10965600107973004
tide_rain_interaction,0.10941104612835892
upstream_rain_6h,0.06132742303944688
rainfall_acceleration,0.026969354325873215
soil_moisture_surface_mean,0.023491869789405664
rain_cumsum_3d,0.01717406813527114
api_7day,0.016470293726330607
soil_saturation_index,0.013668969040094117
prev_meluap_30d,0.009465963958197815
rain_burst_count,0.0091015122991942
drain_capacity_index,0.009002001015298208
soil_moisture_root_mean,0.008271102543399597
rain_cumsum_7d,0.008263936242123715
prev_flood_30d,0.007504960389932742
rain_lag6,0.00697363857307782
soil_saturation_trend,0.006781986410252101
rain_lag1,0.006269946483757445
consecutive_rain_days,0.006008650300511163
hour_risk_factor,0.005871110233596162
rain_lag5,0.00548149625210153
rain_lag2,0.0052639331220625035
rain_lag4,0.005167578177551565
rain_lag3,0.005058971509033612
rain_lag7,0.0050186914757971626
wind_speed_max,0.004755195637350838
month_sin,0.003517776221197747
month_cos,0.0028040014523118295
is_rainy_season,0.002673938134621848
is_weekend,0.002162249104468738
is_heavy_rain,0.0003936800108146419
tide_rain_sync,0.0
is_high_tide,0.0
